year,state,district,incumbent,last_result,cpvi,cook,rothenberg,sabatos_crystal_ball,real_clear,fivethirtyeight,ddhq,politico,fox,the_economist
2020,Alaska,AL,Don Young (R),53.1% R,R+9,5,6.25,5,6,5,6,5,5,NA
2020,Arizona,1,Tom O'Halleran (D),53.8% D,R+2,3,1.75,2,3,2,2,3,2,NA
2020,Arizona,2,Ann Kirkpatrick (D),54.7% D,R+1,1,NA,1,2,1,1,1,1,NA
2020,Arizona,6,David Schweikert (R),55.2% R,R+9,4,4,3,5,5,4,4,4,NA
2020,Arkansas,2,French Hill (R),52.1% R,R+7,4,4,5,5,5,5,4,4,NA
2020,California,1,Doug LaMalfa (R),54.9% R,R+11,7,NA,6,6,6,7,7,6,NA
2020,California,4,Tom McClintock (R),54.1% R,R+10,6,NA,6,6,6,7,6,6,NA
2020,California,7,Ami Bera (D),55.1% D,D+3,1,NA,1,2,1,1,1,1,NA
2020,California,8,Paul Cook (R)(retiring),60.0% R[b],R+9,7,NA,7,6,7,7,7,6,NA
2020,California,10,Josh Harder (D),52.3% D,EVEN,2,NA,1,3,1,2,1,2,NA
2020,California,21,TJ Cox (D),50.4% D,D+5,4,4,3,4,3,4,4,3,NA
2020,California,22,Devin Nunes (R),52.7% R,R+8,6,NA,7,6,7,7,7,6,NA
2020,California,25,Mike Garcia (R),54.9% R,EVEN,4,4,5,4,5,4,4,3,NA
2020,California,39,Gil Cisneros (D),51.6% D,EVEN,2,1.75,3,4,3,3,3,4,NA
2020,California,42,Ken Calvert (R),56.5% R,R+9,7,NA,7,7,7,6,7,7,NA
2020,California,45,Katie Porter (D),52.1% D,R+3,1,NA,1,2,1,2,1,1,NA
2020,California,48,Harley Rouda (D),53.6% D,R+4,3,2.5,3,3,3,3,3,3,NA
2020,California,50,Vacant,51.7% R,R+11,5,6.25,6,6,5,6,6,6,NA
2020,Colorado,3,Scott Tipton (R)(lost renomination),51.5% R,R+6,5,4.75,5,4,5,5,5,4,NA
2020,Colorado,6,Jason Crow (D),54.1% D,D+2,1,NA,1,1,1,1,1,2,NA
2020,Florida,7,Stephanie Murphy (D),57.7% D,EVEN,1,NA,1,2,1,1,1,2,NA
2020,Florida,13,Charlie Crist (D),57.6% D,D+2,1,NA,1,2,1,1,1,2,NA
2020,Florida,15,Ross Spano (R)(lost renomination),53.0% R,R+6,5,5.5,5,4,5,6,6,5,NA
2020,Florida,16,Vern Buchanan (R),54.6% R,R+7,6,6.25,6,5,6,6,6,6,NA
2020,Florida,18,Brian Mast (R),54.3% R,R+5,6,6.25,6,7,7,6,6,6,NA
2020,Florida,26,Debbie Mucarsel-Powell (D),50.9% D,D+6,3,3.25,3,4,3,2,4,2,NA
2020,Florida,27,Donna Shalala (D),51.8% D,D+5,2,NA,2,2,1,2,3,2,NA
2020,Georgia,6,Lucy McBath (D),50.5% D,R+8,2,1.75,2,4,3,3,3,3,NA
2020,Georgia,7,Rob Woodall (R)(retiring),50.1% R,R+9,3,3.25,3,4,3,4,3,4,NA
2020,Illinois,6,Sean Casten (D),53.6% D,R+2,1,NA,1,2,1,2,1,3,NA
2020,Illinois,13,Rodney Davis (R),50.4% R,R+3,4,4,5,4,5,5,4,4,NA
2020,Illinois,14,Lauren Underwood (D),52.5% D,R+5,2,NA,2,3,2,2,2,2,NA
2020,Illinois,17,Cheri Bustos (D),62.1% D,D+3,3,NA,2,2,2,1,2,2,NA
2020,Indiana,5,Susan Brooks (R)(retiring),56.8% R,R+9,4,3.25,3,4,3,4,4,4,NA
